GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEL001,AEL002,AEL003,AEL004,AEL005,AEL006,AEL007,AEL008,AEL009,AEL010,AEL011,AEL012,AEL013,AEL014,AEL015,AEL016,AEL017,AEL018,AEL019,AEL020,AEL021,AEL022,AEL023,AEL024,AEL025,AEL026,AEL027,AEL028,AEL029,AEL030,AEL031,AEL032,AEL033,AEL034,AEL035,AEL036,AEL037,AEL038,AEL039,AEL040,AEL041,AEL042,AEL043,AEL044,AEL045,AEL046,AEL047,AEL048,AEL049,AEL050,AEL051,AEL052,AEL053,AEL054,AEL055,AEL056,AEL057,AEL058,AEL059,AEL060,AEL061,AEL062,AEL063,AEL064,AEL065,AEL066,AEL067,AEL068,AEL069,AEL070,AEL071,AEL072,AEL073,AEL074,AEL075,AEL076,AEL077,AEL078,AEL079,AEL080,AEL081,AEL082,AEL083,AEL084,AEL085,AEL086,AEL087,AEL088,AEL089,AEL090,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADT001,ADU001,ADV001,ADV002,ADW001,ADX001,ADY001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD2001,AD2002,AD2003,AD2004,AD2005,AD2006,AD2007,AD2008,AD2009,AD2010,AD2011,AD2012,AD3001,AD3002,AD3003,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AD7001,AD8001,AD8002,AD8003,AD8004,AEA001,AEA002,AEB001,AEB002,AEC001,AED001,AED002,AEE001,AEF001,AEF002,AEG001,AEG002,AEG003,AEG004,AEH001,AEH002,AEH003,AEH004,AEH005,AEI001,AEI002,AEI003,AEI004,AEI005,AEJ001,AEK001,AEM001,AEM002,AEN001,AEO001,AEP001,AEQ001,AER001,AES001,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AEU001,AEU002,AEU003,AEU004,AEU005,AEU006,AEU007,AEU008,AEU009,AEU010,AEU011,AEU012,AEU013,AEU014,AEU015,AEU016,AEU017,AEU018,AEU019,AEU020,AEU021,AEU022,AEU023,AEV001,AEV002,AEV003,AEV004,AEV005,AEV006,AEV007,AEV008,AEV009,AEV010,AEV011,AEV012,AEV013,AEV014,AEV015,AEV016,AEV017,AEV018,AEV019,AEV020,AEV021,AEV022,AEV023,AEX001,AEY001,AEZ001,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE3001,AE4001,AE5001
"G010","1850","Alabama","010",,"Alabama",771623,35179,0,6289,30241,34205,30145,24548,36360,24862,15976,9842,4544,1822,479,103,10,57,5927,28983,33485,29059,25215,35732,21057,13721,7843,3795,1580,490,84,19,41,20,143,160,147,115,142,89,95,63,43,18,13,5,3,0,29,143,144,154,127,226,131,98,61,36,31,13,10,5,1,3992,25471,25724,23190,18989,31658,19636,11433,6368,3774,1068,338,97,65,1,4118,25687,25671,22260,19871,31208,19514,11779,6030,3451,959,338,93,61,0,219483,207031,1056,1209,171804,171040,426514,2265,342844,12265,8110,20375,3940,,4411,4692,9103,73070,73786,5,1152,166,55,567,1195,28380,380,8290,5900,0,305,35050,2916,800,56367,255519,1100,0,4949,158116,41255,315602,164165,34125,28653,33,35,62778,68,62738,108,62846,13163,20594,108,127,33757,235,33853,139,33992,4435614,7702067,64323224,5125663,21690112,4823485,15408,84821,1934120,4,32,15,5,0,3848,3500,5775,7500,0,56,20623,183913,7509,521022,176657,41964,3450606,4938,4528878,579,18,,,,17,5,,,,1,,577,,162,,5,,,4,1,3,3,189980,4350,,,,6920,1800,,,,200,,169025,,58805,,5200,,,1125,1000,750,1000,227497,6165,,,,76300,2300,,,,250,,276279,,222775,,300000,,,1650,6000,400,12000,1375,440155,1131616,10301,55855,60089,53482,43652,68160,44587,27504,16273,8361,2908,830,205,78,58,10074,54813,59300,51473,45213,67166,40702,25598,13934,7282,2570,841,187,85,42,392343,379280,20375,110668,119389,104955,88865,135326,85289,53102,30207,15643,5478,1671,392,163,100,426514,,
"G050","1850","Arkansas","050",,"Arkansas",209897,0,0,2817,12441,13476,11930,9059,15193,10043,6056,3041,1304,414,69,7,6,18,2655,11944,12912,11178,8990,13238,7420,4501,2186,902,278,82,13,4,12,6,42,35,37,24,43,39,41,20,12,12,3,0,0,0,5,39,31,36,43,37,31,23,22,15,9,1,2,0,0,540,3475,3480,3389,2745,4930,2528,1415,653,378,75,30,11,9,0,619,3573,3546,3179,2765,4684,2612,1421,580,339,88,24,6,5,1,85874,76315,314,294,23658,23442,162189,608,47100,5481,1159,6640,2112,,2160,861,3021,28252,28416,3,353,90,14,150,355,8493,126,2407,0,0,0,3100,1720,250,8959,32834,0,0,0,27937,3100,43763,27937,12918,10432,6,5,23350,11,23343,18,23361,6810,10009,61,55,16819,116,16908,27,16935,781530,1816684,15265246,1601296,6647969,1163313,40141,17150,638217,1,0,2,0,0,250,0,170,0,0,3,420,99247,1471,74800,67545,17758,324065,903,607436,114,,,,,2,1,,,,,,168,,52,,7,,,5,,,13,18600,,,,,350,200,,,,,,25745,,10731,,1600,,,1800,,,1200,21870,,,,,4250,200,,,,,,27070,,28275,,6650,,,1000,,,,362,60226,89315,3363,15958,16991,15356,11828,20166,12610,7512,3714,1694,501,102,18,15,18,3279,15556,16489,14393,11798,17959,10063,5945,2788,1256,375,107,21,9,13,109846,100051,6642,31514,33480,29749,23626,38125,22673,13457,6502,2950,876,209,39,24,31,162189,,
"G060","1850","California","060",,"California",92597,6820,0,148,840,1080,1134,4569,44770,21460,7536,2029,388,64,15,6,0,669,122,784,1011,813,877,1597,986,453,182,69,19,8,2,0,4,1,3,4,11,72,374,256,111,32,6,2,0,0,0,0,2,1,5,20,14,29,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84708,6927,872,90,0,0,91635,962,0,,,273,,0,,,905,23742,24567,0,2,6,0,0,2,49,5,170,0,0,0,0,3600,0,0,0,3000,0,70,11200,0,3600,14270,800,192,1,0,992,1,976,17,993,4237,881,88,29,5118,117,2318,2917,5235,32454,3861531,3874041,103483,3351058,107173,17700,75275,7000,,,,,,,,,,,,,62575,21802,17870,9484,872,1006197,3964,12862522,1,,,,,1,,,,,,,5,,3,,18,,,,,,,400,,,,,0,,,,,,,1600,,700,,7500,,,,,,,5000,,,,,0,,,,,,,18300,,11000,,233500,,,,,,,28,10200,267800,149,843,1084,1145,4641,45144,21716,7647,2061,394,66,15,6,0,669,124,785,1016,833,891,1626,998,456,186,69,19,8,2,0,4,85580,7017,273,1628,2100,1978,5532,46770,22714,8103,2247,463,85,23,8,0,673,91635,,
"G090","1850","Connecticut","090",,"Connecticut",370792,59321,0,3851,16190,19292,19373,18527,35239,25078,17902,11845,7408,3698,1174,109,4,194,3649,15908,19052,18534,19486,35050,24251,18190,13436,8978,4754,1661,202,2,62,74,350,434,397,361,815,543,367,237,147,61,25,5,1,3,72,360,412,411,397,732,541,389,269,161,89,29,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179884,183215,3820,3873,0,0,363099,7693,0,,,7646,,3213,,,5781,64013,73448,4,1656,202,56,738,1787,71269,329,6996,24060,0,0,29579,5674,39476,154701,31369,3385,1729,25,140828,53639,231220,145967,42457,39976,689,575,82433,1264,81221,2476,83697,2037,2702,292,275,4739,567,1293,4013,5306,1768178,615701,72726424,1892541,7467490,2202266,175118,196874,192252,42,4,107,8,3,38609,5039,38445,82600,625,164,165318,41576,38518,430826,114264,22445,23890348,47770,45110104,114,4,252,,,101,1,5,,2,,,185,,17,,12,,,4,5,22,10,44434,950,127320,,,45150,325,1025,,0,,,57775,,7500,,9015,,,1850,1750,8905,1300,406634,5200,1657185,,,773875,800,7150,,0,,,351550,,88700,,97500,,,28400,42000,90200,6000,734,307299,3555194,3925,16540,19726,19770,18888,36054,25621,18269,12082,7555,3759,1199,114,5,197,3721,16268,19464,18945,19883,35782,24792,18579,13705,9139,4843,1690,209,5,63,183704,187088,7646,32808,39190,38715,38771,71836,50413,36848,25787,16694,8602,2889,323,10,260,363099,,
"G100","1850","Delaware","100",,"Delaware",91532,13979,0,983,4191,5036,4581,3814,6354,4605,3106,1713,881,373,76,9,0,24,970,4120,4882,4342,3954,6335,4481,2948,1806,1005,440,109,15,2,14,271,1145,1391,1232,1033,1328,975,683,450,310,143,40,17,2,15,271,1140,1361,1146,971,1522,996,677,480,269,132,52,13,3,5,27,155,223,205,219,212,67,31,20,8,6,0,0,1,0,32,148,178,194,151,243,84,43,22,11,7,2,0,1,0,35746,35423,9035,9038,1174,1116,71169,18073,2290,2495,59,2554,564,,1188,21,1209,15290,15439,2,194,65,16,144,214,8970,94,2011,1200,0,0,16000,0,14422,27753,1686,225,0,1,47606,17200,43861,47832,7632,6584,92,95,14216,187,14077,326,14403,2012,2524,2724,2921,4536,5645,9777,404,10181,580862,375282,18880032,510279,1849281,373665,46574,12714,38121,4,0,12,1,0,10250,0,2700,5000,0,17,17950,11455,5253,108893,26609,6063,2978945,3888,4649296,12,,,,,21,,9,,,,,106,,26,,3,,,1,,,2,2975,,,,,7650,,3636,,,,,29300,,10100,,1630,,,200,,,250,16800,,,,,78900,,24900,,,,,127845,,75500,,15000,,,1000,,,400,180,55741,340345,1281,5491,6650,6018,5066,7894,5647,3820,2183,1199,522,116,26,3,39,1273,5408,6421,5682,5076,8100,5561,3668,2308,1285,579,163,28,6,19,45955,45577,2554,10899,13071,11700,10142,15994,11208,7488,4491,2484,1101,279,54,9,58,71169,,
"G110","1850","District Of Columbia","110",,"District of Columbia",51687,48367,40001,493,2081,2451,2156,1829,3523,2679,1647,995,464,133,35,5,0,3,505,1964,2466,2235,2220,3950,2599,1633,1056,537,208,52,8,0,14,125,523,657,534,394,672,531,367,256,115,52,20,2,0,0,125,511,662,614,637,1156,763,606,353,203,97,67,11,5,1,30,165,208,239,207,239,127,91,55,44,12,4,1,0,0,41,184,287,341,319,425,245,182,129,70,29,8,3,2,0,18494,19447,4248,5811,1422,2265,37941,10059,3687,1248,71,1319,373,373,789,57,846,7917,8343,2,22,47,36,218,34,2169,126,2333,1200,0,0,22800,1100,7090,5550,492,0,0,0,84040,24000,14232,84040,3137,2966,232,235,6103,467,6485,85,6570,601,856,1106,2108,1457,3214,4349,322,4671,16267,11187,1730460,40220,71643,9038,14843,67222,2075,7,0,0,2,0,66100,0,0,32500,0,9,98600,18661,4918,122272,13357,267,888965,2176,2493008,6,,,,,8,,1,,,2,,16,,6,,6,,,,1,,,3460,,,,,6400,,200,,,1000,,10460,,5000,,7100,,,,500,,,29300,,,,,57500,,1000,,,15000,,71900,,73000,,105300,,,,10000,,,46,34129,363000,648,2769,3316,2929,2430,4434,3337,2105,1306,623,197,59,8,0,3,671,2659,3415,3190,3176,5531,3607,2421,1538,810,334,127,22,7,15,24164,27523,1319,5428,6731,6119,5606,9965,6944,4526,2844,1433,531,186,30,7,18,37941,,
"G120","1850","Florida","120",,"Florida",87445,0,0,651,3365,3811,3077,2338,4778,3558,2076,1269,544,188,40,5,1,4,646,3139,3647,2812,2412,3727,2347,1410,810,376,125,37,8,1,1,9,55,70,62,36,58,44,29,16,20,7,6,2,4,0,16,54,89,55,44,64,71,47,27,23,11,8,4,1,0,463,2840,2889,2507,1974,3878,2277,1344,895,474,141,45,22,15,40,451,2918,2874,2442,2087,3681,2312,1340,798,397,126,45,21,14,0,25705,21498,418,514,19804,19506,47203,932,39310,1322,914,2236,431,,491,440,931,9022,9107,0,69,34,0,0,73,1878,49,1251,0,0,0,0,0,0,250,22136,1900,0,0,11189,0,22386,13089,2545,2201,29,37,4746,66,4704,108,4812,1736,2123,116,154,3859,270,3834,295,4129,349049,1246240,6323109,658795,2880058,514685,1280,8721,75582,1,2,4,0,0,1000,800,860,0,0,7,2660,25431,2769,35475,18097,4304,547060,991,668335,56,,,,,10,1,,,,,,87,,16,2,5,,,,,,,11985,,,,,3810,400,,,,,,20015,,5900,1000,1850,,,,,,,25640,,,,,37800,400,,,,,,55260,,31500,1200,13600,,,,,,,177,44960,165400,1123,6260,6770,5646,4348,8714,5879,3449,2180,1038,336,91,29,20,44,1113,6111,6610,5309,4543,7472,4730,2797,1635,796,262,90,33,16,1,45927,41518,2236,12371,13380,10955,8891,16186,10609,6246,3815,1834,598,181,62,36,45,47203,,
"G130","1850","Georgia","130",,"Georgia",906185,38994,0,7894,37844,42642,37075,28497,44873,28062,18830,10891,6202,2447,725,119,28,104,7271,35698,41118,35674,30085,43527,25534,17403,10125,5508,2329,797,149,27,94,44,178,221,203,147,193,131,97,62,44,35,8,9,2,1,30,165,202,180,171,287,179,96,99,67,44,18,14,4,0,4730,27984,28941,26834,21865,33959,19146,12100,6584,4585,1399,480,142,81,27,4889,28070,28711,26749,23072,34590,20427,13006,6560,4544,1430,519,162,79,17,266233,255339,1375,1556,188857,192825,521572,2931,381682,15239,9619,24858,4977,,4592,5331,9923,91206,91666,13,1251,219,84,1535,1265,32705,318,9059,21720,0,500,83210,500,21520,16959,143252,7397,0,200,101386,105430,182231,108983,42365,34650,1,0,77015,1,76915,101,77016,16552,24648,208,259,41200,467,41261,406,41667,6378479,16442900,95753448,5894150,25728416,6339762,92776,76500,1838968,3,11,15,9,0,6500,1800,1988,21500,0,38,31788,118571,6488,396644,215091,51759,5460483,8378,7086525,885,5,1,,,20,6,2,,,8,,809,1,97,,8,,,16,,3,7,321668,1710,250,,,9325,1730,500,,,2825,,240638,75,40596,,4250,,,7250,,900,1275,390801,12050,2700,,,109910,2650,400,,,34850,,393943,25,218805,,79500,,,21100,,1000,1625,1868,632992,1269359,12668,66006,71804,64112,50509,79025,47339,31027,17537,10831,3881,1213,270,111,132,12190,63933,70031,62603,53328,78404,46140,30505,16784,10119,3803,1334,325,110,111,456465,449720,24858,129939,141835,126715,103837,157429,93479,61532,34321,20950,7684,2547,595,221,243,521572,,
"G170","1850","Illinois","170",,"Illinois",851470,64427,29963,13546,58383,66392,58559,46959,79465,57178,34389,19119,7969,2527,504,55,10,489,12995,56436,63513,54301,45739,70579,45248,27683,14709,6441,2050,434,54,5,303,75,331,376,312,285,551,353,216,171,64,27,9,5,1,1,65,329,371,343,292,533,277,198,124,74,34,11,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445544,400490,2777,2659,0,0,846034,5436,0,,,26681,,9183,,,11619,146544,149153,6,4054,81,35,442,4252,125790,156,4179,4500,0,700,8100,20526,100694,129906,98586,1985,0,806,37697,13300,349712,40488,97245,84724,162,161,181969,323,173403,8889,182292,16633,23421,605,624,40054,1229,35336,5947,41283,5039545,6997867,96133288,6405561,24209258,4972286,446049,127494,1155902,33,29,86,4,0,35982,5875,12829,7800,0,152,62486,402396,111892,403500,335463,76208,6385387,12065,17236072,282,69,46,,2,27,2,6,3,,42,,405,2,206,,59,2,4,30,4,7,25,94130,30864,15626,,875,14000,750,1550,280,,16640,,178452,400,83129,,29100,140,1225,8625,1050,2000,7740,204095,42950,89250,,2700,78350,6400,2340,310,,40120,,327640,350,395130,,220400,5800,2250,30550,8700,13300,11550,1223,486576,1482185,13621,58714,66768,58871,47244,80016,57531,34605,19290,8033,2554,513,60,11,490,13060,56765,63884,54644,46031,71112,45525,27881,14833,6515,2084,445,58,7,305,448321,403149,26681,115479,130652,113515,93275,151128,103056,62486,34123,14548,4638,958,118,18,795,846034,,
"G180","1850","Indiana","180",,"Indiana",988416,44632,0,16344,68294,79563,68240,55477,86785,57445,35213,23538,10395,3672,871,144,18,179,15636,65613,76369,64447,55196,80349,49853,32010,18501,8846,3091,796,129,8,132,161,772,867,823,627,903,561,400,346,166,57,16,7,0,9,155,737,915,765,625,981,560,371,217,124,52,16,9,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506178,470976,5715,5547,0,0,977154,11262,0,,,32296,,12423,,,12808,170178,171564,11,4822,131,61,1069,4860,161500,233,6185,14000,0,300,29050,10630,74258,134078,95501,710,0,80,62730,43350,314467,63520,119496,100538,484,443,220034,927,218227,2734,220961,26132,44408,1024,1146,70540,2170,69445,3265,72710,5046543,7746879,136385168,6704444,22478556,6567935,324940,72864,1631039,58,3,85,4,1,46238,1800,11265,8700,400,151,68403,404726,55572,423824,399292,93896,7941602,14342,18922652,430,187,2,,5,24,10,89,5,,63,,779,57,282,,63,,5,5,1,15,13,138783,65341,1400,,1275,7300,2750,44915,1150,,19050,,266372,18250,105582,,25115,,3000,1250,250,5050,2822,212735,89790,8000,,1800,74000,5700,60355,3500,,37425,,492560,21600,326520,,167725,,3100,2350,600,17800,4025,2035,709655,1529585,16505,69066,80430,69063,56104,87688,58006,35613,23884,10561,3729,887,151,18,188,15791,66350,77284,65212,55821,81330,50413,32381,18718,8970,3143,812,138,14,146,511893,476523,32296,135416,157714,134275,111925,169018,108419,67994,42602,19531,6872,1699,289,32,334,977154,,
