GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1880","Alabama","010",,"Alabama",4
"G045","1880","Arizona Territory","045",,"Arizona",8
"G050","1880","Arkansas","050",,"Arkansas",6
"G060","1880","California","060",,"California",16
"G080","1880","Colorado","080",,"Colorado",22
"G090","1880","Connecticut","090",,"Connecticut",49
"G100","1880","Delaware","100",,"Delaware",34
"G120","1880","Florida","120",,"Florida",6
"G130","1880","Georgia","130",,"Georgia",4
"G165","1880","Idaho Territory","165",,"Idaho",9
"G170","1880","Illinois","170",,"Illinois",32
"G180","1880","Indiana","180",,"Indiana",31
"G190","1880","Iowa","190",,"Iowa",23
"G200","1880","Kansas","200",,"Kansas",11
"G210","1880","Kentucky","210",,"Kentucky",14
"G220","1880","Louisiana","220",,"Louisianna",7
"G230","1880","Maine","230",,"Maine",16
"G240","1880","Maryland","240",,"Maryland",32
"G250","1880","Massachusetts","250",,"Massachusetts",44
"G260","1880","Michigan","260",,"Michigan",36
"G270","1880","Minnesota","270",,"Minnesota",14
"G280","1880","Mississippi","280",,"Mississippi",6
"G290","1880","Missouri","290",,"Missouri",13
"G305","1880","Montana Territory","305",,"Montana",8
"G310","1880","Nebraska","310",,"Nebraska",11
"G320","1880","Nevada","320",,"Nevada",10
"G330","1880","New Hampshire","330",,"New Hampshire",20
"G340","1880","New Jersey","340",,"New Jersey",65
"G355","1880","New Mexico Territory","355",,"New Mexico",9
"G360","1880","New York","360",,"New York",44
"G370","1880","North Carolina","370",,"North Carolina",6
"G390","1880","Ohio","390",,"Ohio",46
"G410","1880","Oregon","410",,"Oregon",14
"G420","1880","Pennsylvania","420",,"Pennsylvania",49
"G440","1880","Rhode Island","440",,"Rhode Island",50
"G450","1880","South Carolina","450",,"South Carolina",5
"G470","1880","Tennessee","470",,"Tennessee",10
"G480","1880","Texas","480",,"Texas",5
"G495","1880","Utah Territory","495",,"Utah",21
"G500","1880","Vermont","500",,"Vermont",22
"G510","1880","Virginia","510",,"Virginia",11
"G535","1880","Washington Territory","535",,"Washington",10
"G540","1880","West Virginia","540",,"West Virginia",13
"G550","1880","Wisconsin","550",,"Wisconsin",23
"G565","1880","Wyoming Territory","565",,"Wyoming",7
