GISJOIN,YEAR,STATE,STATEA,AREANAME,AE8001,AE8002,AE8003,AE8004,AE8005,AE8006,AE8007,AE8008,AFJ001,AFJ002,AF4001,AGF001,AGF002,AGF003,AGF004,AGM001,AGM002,AGN001,AGN002,AGN003,AGN004,AGO001,AGO002,AE9001,AFA001,AFA002,AFB001,AFB002,AFB003,AFB004,AFB005,AFB006,AFB007,AFB008,AFB009,AFB010,AFB011,AFB012,AFB013,AFB014,AFB015,AFB016,AFB017,AFB018,AFB019,AFB020,AFB021,AFB022,AFB023,AFB024,AFB025,AFB026,AFB027,AFB028,AFB029,AFB030,AFB031,AFB032,AFB033,AFB034,AFB035,AFB036,AFB037,AFB038,AFB039,AFB040,AFB041,AFB042,AFB043,AFB044,AFB045,AFB046,AFB047,AFB048,AFB049,AFB050,AFB051,AFB052,AFB053,AFB054,AFB055,AFB056,AFB057,AFB058,AFB059,AFB060,AFB061,AFB062,AFB063,AFB064,AFB065,AFC001,AFD001,AFE001,AFE002,AFE003,AFE004,AFE005,AFE006,AFE007,AFE008,AFE009,AFE010,AFE011,AFF001,AFG001,AFG002,AFG003,AFG004,AFG005,AFG006,AFG007,AFG008,AFG009,AFG010,AFH001,AFI001,AFI002,AFI003,AFI004,AFI005,AFK001,AFL001,AFM001,AFM002,AFM003,AFM004,AFN001,AFO001,AFP001,AFQ001,AFR001,AFR002,AFS001,AFT001,AFU001,AFV001,AFW001,AFX001,AFY001,AFY002,AFZ001,AF0001,AF1001,AF2001,AF3001,AF5001,AF6001,AF7001,AF8001,AF8002,AF8003,AF8004,AF8005,AF8006,AF8007,AF9001,AF9002,AF9003,AF9004,AF9005,AF9006,AF9007,AGA001,AGB001,AGC001,AGC002,AGC003,AGC004,AGC005,AGD001,AGD002,AGD003,AGD004,AGD005,AGE001,AGE002,AGE003,AGE004,AGE005,AGG001,AGH001,AGH002,AGH003,AGH004,AGH005,AGI001,AGI002,AGI003,AGI004,AGI005,AGJ001,AGK001,AGL001
"G010","1850","Alabama","010","Alabama",118012,116679,95988,87336,758,883,279,310,234691,1641,183324,4928,2570,5,6,7498,11,555,14,446,10,1001,24,589,420032,7638,237542,91,0,66,612,73,1060,58997,114,93,7,2694,628,215,757,654,3,2852,158,151,271,1443,28521,276,876,74,48663,22541,55,155,10387,3,0,941,584,67,3639,45,1068,33,1,3,18,51,4,113,10,503,163,39,90,0,7,1,0,0,3,18,49,39,3,2,28,116,1109,73786,5.8,5204,7737,6572,5067,3524,957,216,16,2,0,0,29295,16630,68635,7683,0,807,2610,3638,325,42,97,100467,9.62,0.49,0.70,1.76,1.41,1.89,2,1800580,4670458,1998820,1474963,3568285,228204336000,1026,3450606,4397,539,1105824,2224960,4528876,1026,3450606,2224960,4399,539,1106112,4528878,34.71,41964,289,1533,122,1655,6,5,0,48,1,0,0,869201,266500,0,1509040,18000,0,0,60,2662741,11,1,45,2,1,5100,1000,24336,3450,711,265200,313000,1889169,158400,36972,34597,0,1,2,0,0,0,1454,2623,0,0,37,18077,50722
"G050","1850","Arkansas","050","Arkansas",31145,29851,53266,45684,165,128,138,159,60996,293,98950,989,479,1,2,1468,3,474,10,301,5,775,15,297,160345,1628,11250,63206,6,49,121,51,38,6367,3276,2128,106,7428,1096,80,326,174,17,4463,5328,49,117,537,8772,1051,702,36,4587,33807,336,82,4737,13,9,196,71,11,514,24,516,0,2,1,7,1,2,12,6,77,3,3,15,0,0,0,0,0,0,1,41,68,0,0,7,50,824,28461,5.7,1383,1951,1365,788,382,109,19,2,0,0,0,5999,4296,28942,5684,33,106,911,676,110,0,27,40785,10.63,0.54,0.75,1.77,1.67,1.61,,,,,,,39841024000,261,305015,812,30,159876,215789,537908,272,324065,268564,873,30,169356,607436,52.31,17758,146,860,90,950,0,0,0,9,0,0,0,0,0,0,377000,0,0,0,9,377000,3,0,6,0,0,3300,0,3950,0,0,171600,0,205400,0,0,7250,0,1,0,0,0,0,1000,0,0,0,1,1000,52198
"G060","1850","California","060","California",4532,3164,59471,2395,60,9,641,68,7696,69,61866,20278,1351,161,12,21629,173,427,10,17,1,444,11,709,69610,22358,631,350,6602,86,1317,305,54,876,2722,2077,341,4690,929,2700,1164,4760,284,772,5890,904,1022,10160,1027,5500,4506,861,519,3145,250,1194,3407,248,317,3050,883,182,2452,158,2926,87,63,124,92,162,12,177,48,1546,220,109,228,1,9,0,660,117,319,65,834,6454,39,877,64,400,629,24567,3.8,,,,,,,,,,,,,69007,2059,3771,140,617,876,198,130,710,123,77631,60.00,4.00,5.00,7.60,13.00,11.00,,,,,,,22161872000,1003,1006197,3964,0,3717180,1201154,12862522,1003,1006197,1201154,3964,0,3485820,12862522,812.52,872,4466,4443,118,4561,4,0,0,3,0,0,0,626000,0,0,135200,0,0,0,7,761200,3,4,0,0,0,2600,2000,0,0,0,135200,626000,0,0,0,4600,,,,,,,,,,,,,188981
"G090","1850","Connecticut","090","Connecticut",139232,145746,20242,18875,2945,3132,685,666,284978,6077,39117,19968,18406,127,40,38374,167,442,63,188,35,630,98,1351,332525,37473,74,0,0,50,292653,58,46,217,80,47,18,41,64,670,265,11366,89,23,28,795,1174,14416,95,400,1055,6890,116,13,20,1508,228,23,3,5091,1916,111,26689,42,1671,20,19,1,16,13,2,55,5,321,12,74,16,0,1,2,5,16,45,72,970,4,0,35,192,57,794,73448,5.1,,,,,,,,,,,,,38653,31881,16813,0,4801,1614,2162,189,220,677,97010,12.72,0.76,0.98,1.30,1.36,1.95,43,9907504,15607316,640622,2395311,5253884,155707984000,3737,25876648,34248,16483,12435984,23608972,47114584,3482,23890348,23589396,31287,16483,11695236,45110104,41.13,22445,106,3240,84,3324,7,4,0,30,0,1,2,1752800,374400,0,2117232,0,6000,8800,46,4267932,12,0,28,4,1,11200,0,34916,5400,1200,489900,0,3422432,223200,7200,53116,1,3,7,3,1,3000,14234,38666,6300,7000,19,98638,4750
"G100","1850","Delaware","100","Delaware",27773,27818,5195,5131,8467,8465,559,570,55591,16932,10326,2770,2473,7,3,5243,10,8,2,1,0,9,2,1129,83968,5211,4,0,0,28,50,72351,4,14,5,19,0,16,4,24,4360,113,12,6,8,31,1186,218,18,54,5067,204,13,4,1,12,139,1,2,952,155,17,3513,28,343,0,5,0,1,2,1,22,1,73,1,0,0,0,0,0,0,0,0,10,21,3,0,3,25,35,63,15439,5.8,320,352,117,20,0,0,0,0,0,0,0,809,5633,7884,6663,0,743,251,581,124,69,113,22061,8.79,0.51,0.78,1.23,0.84,1.83,9,1293185,2264313,159773,502765,833960,21062556000,531,2978945,3237,651,936924,2864607,4649296,531,2978945,2864607,3237,651,936924,4649296,28.46,6063,158,3114,84,3198,0,0,3,7,0,0,0,0,0,62400,358800,0,0,0,10,421200,2,0,8,0,0,900,0,6600,0,0,46800,0,374400,0,0,7500,1,1,2,0,0,4000,4000,6200,0,0,5,16700,2120
"G110","1850","District Of Columbia","110","District of Columbia",8924,9451,6831,7789,2580,3417,1655,2386,18375,5997,14620,2724,2189,3,2,4913,5,15,10,18,6,33,16,4041,42956,4967,45,4,0,24967,135,99,26,67,24,29,1,90,58,87,9245,331,28,55,28,84,163,817,100,123,1164,23,100,58,7,43,4950,2,3,682,142,20,2373,11,1404,3,4,0,6,5,14,36,2,80,20,6,74,0,0,0,1,4,0,2,32,9,0,5,15,17,77,8343,5.8,760,539,136,39,2,1,0,0,0,0,0,1477,6128,421,2535,91,186,330,436,559,507,16,11209,10.00,0.63,0.98,1.50,1.31,2.37,,,,,,,14018874000,403,1001575,2034,536,757584,1405871,2690258,395,888965,1339146,1678,498,616152,2493008,60.49,267,103,6481,151,6632,5,5,0,8,0,0,0,6149198,1208610,0,3769428,0,0,0,18,11127236,2,1,15,0,0,1575,350,99437,0,0,81900,54600,10990736,0,0,101362,10,2,4,0,2,100200,7000,2800,0,9173,20,148673,64
"G120","1850","Florida","120","Florida",9684,9436,14058,11274,357,447,46,53,19120,804,25332,1953,787,15,14,2740,29,10,0,1,0,11,0,99,45320,2757,2340,5,0,33,179,9,20563,11316,8,14,0,87,146,140,194,235,7,92,7,61,83,614,3537,53,240,66,4470,112,8,55,643,3,0,300,182,11,878,17,307,8,8,17,21,33,4,7,2,67,70,17,40,0,0,0,0,3,0,23,97,6,0,3,599,37,58,9107,5.3,699,991,759,588,349,104,29,0,1,0,0,3520,2380,5977,2666,423,708,357,302,268,12,42,13135,10.00,0.68,1.03,2.15,1.83,2.64,,,,,,,22862270000,103,547060,876,115,199452,220611,668335,103,547060,220611,876,115,199452,668335,45.38,4304,371,1469,153,1622,0,1,0,9,0,0,0,0,31200,0,288600,0,0,0,10,319800,0,0,7,3,0,0,0,3500,2250,0,0,0,202800,117000,0,5750,2,1,0,0,0,4000,1337,0,0,0,4,5537,59268
"G130","1850","Georgia","130","Georgia",199271,197027,62452,55816,1223,1358,133,170,396298,2581,118268,4242,2210,12,24,6452,36,268,7,286,4,554,11,303,518079,5907,3154,25,0,72,712,117,1103,402666,41,50,1,458,42,178,703,594,3,184,60,122,331,1203,37522,46,642,138,52154,8211,28,186,7331,2,0,679,367,13,3202,25,947,13,11,6,24,11,41,38,8,177,13,5,33,0,1,1,0,2,0,13,108,8,0,8,95,58,517,91666,5.7,6554,11716,7701,6490,5056,764,147,22,4,2,0,38456,20715,83362,11505,18,282,2815,3942,416,15,173,123243,9.03,0.50,0.72,1.66,1.52,1.82,21,13482198,11421626,2112446,2580826,9898828,335425728000,1522,5456483,6650,1718,1709664,3404917,7082075,1527,5460483,3404917,6660,1718,1712304,7086525,36.06,51759,441,1850,114,1964,5,3,0,37,6,0,0,1086110,146380,0,2609776,228600,0,0,51,4070866,18,6,20,3,4,29638,3046,20900,4600,9300,1411976,747340,1491350,239200,181000,67484,0,1,4,2,1,0,6510,4685,5000,2000,24,35632,58000
"G170","1850","Illinois","170","Illinois",169665,161424,210225,189508,1308,1356,1396,1267,331089,2664,399733,63427,48433,16,16,111860,32,2227,57,1125,20,3352,77,2663,736931,110593,1335,727,3,226,6899,1397,23,1341,343618,30953,1511,49588,480,3693,6898,9230,2158,490,7228,4288,6848,67180,13851,64219,37979,1051,4162,32303,63,11381,24697,1095,16,18628,4661,572,27786,286,38160,65,220,2415,93,1123,33,1635,27,3396,70,42,43,0,4,0,1,2,9,11,10699,30,0,12,75,495,3946,149153,5.7,,,,,,,,,,,,,36232,141099,29778,0,1644,3307,2071,701,376,151,215359,12.55,0.62,0.85,1.47,1.14,1.47,,,,,,,156265008000,3162,6217765,11066,493,3204336,8959328,16534272,3164,6385387,8915174,11632,433,3286249,17236072,78.85,76208,158,1261,84,1345,8,4,0,84,3,7,1,1120540,214500,0,3575936,43200,147200,900,107,5102276,22,1,73,8,3,17725,1290,51111,12097,6400,721700,403770,3384162,499044,93600,88623,1,2,2,2,0,4000,2821,625,2000,0,27,19916,55410
"G180","1850","Indiana","180","Indiana",264241,256342,207707,190988,2593,2556,3073,2958,520583,5149,398695,32692,22845,19,16,55537,35,1538,30,801,17,2339,47,6031,931392,54426,395,151,0,227,2485,2737,21,761,4173,541079,407,68651,321,976,10177,2678,1817,287,1006,886,7837,24310,33175,120193,44245,438,4069,12734,44,3183,41819,99,11,5550,1341,169,12787,740,28584,17,43,18,10,16,86,724,6,2279,3,6,6,0,0,0,0,4,0,4,1878,31,0,4,12,108,2598,171564,5.8,,,,,,,,,,,,,45318,163229,29854,0,1725,4229,3031,677,184,449,248696,10.50,0.55,0.78,1.30,0.90,1.43,14,2082950,4395099,1197880,630325,3422445,202650272000,4392,7750402,13748,692,3728844,10369700,18725424,4288,7941602,10214338,13677,665,2809116,18922652,74.28,93896,136,1453,71,1524,9,2,0,95,1,0,0,1153092,195000,0,2920736,48000,0,0,107,4316828,21,0,84,2,0,12452,0,47900,3000,0,647504,0,3569324,100000,0,63352,1,4,4,0,0,7000,10700,4800,0,0,16,40000,33809
