GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ADF001,ADI001,ADI002,ADJ001,ADJ002,ADK001,ADK002,ADK003,ADK004,ADK005,ADK006,ADK007,ADL001,ADM001,ADM002,ADM003,ADM004,ADM005,ADM006,ADM007,ADM008,ADM009,ADM010,ADM011,ADM012,ADM013,ADM014,ADM015,ADM016,ADM017,ADM018,ADM019,ADM020,ADM021,ADM022,ADM023,ADM024,ADM025,ADM026,ADM027,ADM028,ADM029,ADM030,ADN001,ADN002,ADN003,ADN004,ADO001,ADO002,ADO003,ADO004,ADO005,ADO006,ADO007,ADO008,ADO009,ADO010,ADO011,ADO012,ADO013,ADO014,ADO015,ADO016,ADO017,ADO018,ADO019,ADO020,ADO021,ADO022,ADO023,ADO024,ADO025,ADO026,ADO027,ADO028,ADO029,ADO030,ADP001,ADP002,ADP003,ADP004,ADP005,ADP006,ADP007,ADP008,ADP009,ADP010,ADP011,ADP012,ADP013,ADP014,ADP015,ADP016,ADP017,ADP018,ADP019,ADP020,ADP021,ADP022,ADP023,ADP024,ADP025,ADP026,ADP027,ADP028,ADP029,ADP030,ADG001,ADG002,ADH001
"G010","1850","Alabama","010",,"Alabama",41964,4435614,7702067,64323224,5125663,128001,59895,227791,66961,433263,371880,1904540,21690112,294044,17261,28754048,2965696,2312252,164990,564429,657118,892701,246001,5475204,3958,348,220,4008811,31412,32685,138,547,276,0,0,3921,69,167,643,8242,193,83235,897021,15408,84821,1934120,4823485,1.02,0.77,0.46,0.34,0.02,0.09,48.00,0.18,0.73,0.37,0.48,0.58,0.52,0.28,0.08,0.04,8.76,5.01,2.78,0.09,67.00,67.00,0.06,1.15,11.94,0.09,81.25,0.87,0.27,0.29,29992.5,1329.1,1322686.2,100833.7,5364.4,1484.9,2709259.2,11828.1,65167.2,9102.0,262809.8,229.6,18.1,6.2,33273.1,125.6,28632.1,69.1,152.1,2.5,0.0,0.0,23.5,7.9,199.4,5.8,66966.3,16.8,2272.3,26013.6,46878940,6757605,53636544
"G050","1850","Arkansas","050",,"Arkansas",17758,781530,1816684,15265246,1601296,60197,11559,93151,34239,165320,91256,836727,6647969,199639,8047,8893940,656183,63179,218936,65344,182595,285738,193832,788149,177,175,35,1854239,30088,3976,90,436,157,0,15,12291,321,38,9330,0,18,0,192338,40141,17150,638217,1163313,1.02,0.77,0.46,0.34,0.02,0.09,48.00,0.18,0.73,0.37,0.48,0.58,0.52,0.28,0.08,0.04,8.76,5.01,2.78,0.09,67.00,67.00,0.06,1.15,11.94,0.09,81.25,0.87,0.27,0.29,20363.2,619.6,409121.2,22310.2,146.6,1970.4,313651.2,3286.7,20858.9,7171.8,37831.2,10.3,9.1,1.0,15390.2,120.4,3483.0,45.1,121.2,1.4,0.0,100.5,73.7,36.9,45.4,84.0,0.0,1.6,0.0,5577.8,8681616,1801530,10483146
"G060","1850","California","060",,"California",872,32454,3861531,3874041,103483,21719,1666,4280,4780,253599,17574,2776,3351058,17328,0,12236,0,0,1000,0,5520,2292,9292,1000,9712,0,58055,705,150,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,17700,75275,7000,107173,1.02,0.77,0.46,0.34,0.02,0.09,48.00,0.18,0.73,0.37,0.48,0.58,0.52,0.28,0.08,0.04,8.76,5.01,2.78,0.09,67.00,67.00,0.06,1.15,11.94,0.09,81.25,0.87,0.27,0.29,1767.5,0.0,562.9,0.0,0.0,9.0,0.0,99.4,167.3,343.8,48.0,563.3,0.0,1625.5,5.9,0.6,1785.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162759,114173,276932
"G090","1850","Connecticut","090",,"Connecticut",22445,1768178,615701,72726424,1892541,26879,49,85461,46988,80226,174181,76472,7467490,41762,600893,1935043,1258738,0,1267624,0,497454,19090,2689725,80,19099,229297,4269,6498119,5363277,516131,13841,16628,554,0,0,17928,703,328,50796,0,665,0,93304,175118,196874,192252,2202266,1.51,0.87,0.90,0.43,0.02,0.12,44.00,0.37,1.03,0.48,0.51,0.66,0.60,0.26,0.15,0.11,10.30,4.94,2.83,0.15,150.00,150.00,0.20,1.61,11.94,0.09,70.00,0.90,0.27,0.36,6306.1,52277.7,174153.9,54125.7,0.0,15211.5,0.0,18405.8,1966.3,129106.8,4.1,1260.5,13757.8,111.0,97471.8,58996.1,531615.0,6837.5,4705.7,8.3,0.0,0.0,358.6,113.2,391.6,457.2,0.0,59.9,0.0,3358.9,12082600,2394518,14477118
"G100","1850","Delaware","100",,"Delaware",6063,580862,375282,18880032,510279,13852,791,19248,9797,24166,27503,56261,1849281,482511,8066,3145542,604518,0,0,0,57768,4120,240542,65443,56,8615,145,1055308,3187,30159,2525,1403,348,0,0,11174,904,0,0,0,50,0,41248,46574,12714,38121,373665,1.22,0.71,0.74,0.38,0.02,0.04,56.00,0.24,0.86,0.73,0.51,0.66,0.40,0.26,0.23,0.11,14.55,4.94,2.83,0.18,100.00,100.00,0.26,1.61,11.94,0.09,70.00,0.90,0.27,0.36,58866.3,572.7,232770.1,22971.7,0.0,0.0,0.0,1386.4,354.3,17559.6,3337.6,3.7,344.6,3.8,24272.1,35.1,43881.3,1247.4,397.0,6.3,0.0,0.0,290.5,145.5,0.0,0.0,0.0,4.5,0.0,1484.9,4158643,411786,4570429
"G110","1850","District Of Columbia","110",,"District of Columbia",267,16267,11187,1730460,40220,824,57,813,104,123,150,1635,71643,17370,5509,65230,8134,0,7800,0,525,7754,28292,3497,75,378,863,14872,1500,2279,3,0,15,0,0,0,0,0,0,0,0,0,550,14843,67222,2075,9038,1.22,0.71,0.74,0.38,0.02,0.04,56.00,0.24,0.86,0.73,0.51,0.66,0.40,0.26,0.23,0.11,14.55,4.94,2.83,0.18,100.00,100.00,0.26,1.61,11.94,0.09,70.00,0.90,0.27,0.36,2119.1,391.1,4827.0,309.1,0.0,31.2,0.0,12.6,666.8,2065.3,178.3,5.0,15.1,22.4,342.1,16.5,3315.9,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,225458,11113,236571
"G120","1850","Florida","120",,"Florida",4304,349049,1246240,6323109,658795,10848,5002,72876,5794,182415,23311,209453,2880058,1027,1152,1996809,66586,1075090,998614,45131,23247,135359,7828,757226,0,55,10,371498,18015,2510,0,2,14,0,0,50,0,6,0,2750,0,352893,18971,1280,8721,75582,514685,1.02,0.77,0.46,0.34,0.02,0.09,48.00,0.18,0.73,0.37,0.48,0.58,0.52,0.28,0.08,0.04,8.76,5.01,2.78,0.09,67.00,67.00,0.06,1.15,11.94,0.09,81.25,0.87,0.27,0.29,104.8,88.7,91853.2,2263.9,2494.2,8987.5,216628.8,418.4,9881.2,289.6,36346.8,0.0,2.9,0.3,3083.4,72.1,2198.8,0.0,0.6,0.1,0.0,0.0,0.3,0.0,7.2,0.0,22343.8,0.0,9634.0,550.2,4082508,590267,4672775
"G130","1850","Georgia","130",,"Georgia",51759,6378479,16442900,95753448,5894150,151331,57379,334223,73286,690019,560435,2168617,25728416,1088534,53750,30080100,3820044,38950692,423924,499091,990019,1142011,227379,6986428,11501,250,796,4640559,46976,23449,132,428,261,0,0,5387,622,813,50,1642,13332,202818,732514,92776,76500,1838968,6339762,1.02,0.77,0.46,0.34,0.02,0.09,48.00,0.18,0.73,0.37,0.48,0.58,0.52,0.28,0.08,0.04,8.76,5.01,2.78,0.09,67.00,67.00,0.06,1.15,11.94,0.09,81.25,0.87,0.27,0.29,111030.5,4138.8,1383684.6,129881.5,90365.6,3815.3,2395636.8,17820.3,83366.8,8413.0,335348.6,667.1,13.0,22.3,38516.6,187.9,20541.3,66.1,119.0,2.3,0.0,0.0,32.3,71.5,970.7,0.5,13341.3,1159.9,5536.9,21242.9,46829208,8178730,55007940
"G170","1850","Illinois","170",,"Illinois",76208,5039545,6997867,96133288,6405561,267653,10573,294671,76156,541209,894043,1915907,24209258,9414576,83364,57646984,10087242,0,841394,0,2150113,82814,2514861,157433,110795,184504,2997,12526544,1278225,601952,3427,14380,3551,0,0,160063,10787,47,248904,0,8354,0,869444,446049,127494,1155902,4972286,0.90,0.40,0.43,0.40,0.04,0.09,56.00,0.32,1.21,0.50,0.51,0.57,0.50,0.26,0.15,0.11,5.68,4.94,2.83,0.20,100.00,100.00,0.20,1.03,11.94,0.08,80.00,0.50,0.27,0.26,847311.8,3334.6,2478820.4,403489.7,0.0,7572.5,0.0,68803.6,10020.5,125743.1,8029.1,6315.3,9225.2,77.9,187898.2,14060.5,341908.7,1692.9,4069.5,71.0,0.0,0.0,3201.3,1111.1,56.1,1991.2,0.0,417.7,0.0,22605.5,46051816,6128188,52180004
"G180","1850","Indiana","180",,"Indiana",93896,5046543,7746879,136385168,6704444,314299,6599,284554,40221,389891,1122493,2263776,22478556,6214458,78792,52964364,5655014,0,1044620,14,2610287,35773,2083337,201711,45483,149740,14055,12881536,624564,403230,18320,11951,92796,0,0,584469,36888,387,2921192,0,180325,0,935329,324940,72864,1631039,6567935,1.00,0.37,0.30,0.33,0.04,0.09,56.00,0.28,1.21,0.48,0.51,0.77,0.45,0.26,0.19,0.15,10.30,4.94,2.83,0.15,100.00,100.00,0.20,1.03,11.94,0.08,80.00,0.50,0.27,0.26,621445.8,2915.3,1588931.0,186615.5,0.0,9401.6,78.4,73088.0,4328.5,100000.2,10287.3,3502.2,6738.3,365.4,244749.2,9368.5,415326.9,9050.1,3382.1,1391.9,0.0,0.0,11689.4,3799.5,462.1,23369.5,0.0,9016.3,0.0,24318.6,34034016,8198974,42232992
