GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AUM001,AVL001,AVL002,AVL003,AVL004,AVL005,AVL006,AVL007,AVL008,AVL009,AVL010,AVL011,AVL012,AVL013,AVL014,AVL015,AVL016,AVL017,AVL018,AVL019,AVL020,AVL021,AVL022,AVL023,AVL024,AVL025,AVL026,AVL027,AVL028,AVL029,AVL030,AVL031,AVL032,AVL033,AVL034,AVL035,AVL036,AVL037,AVL038,AVL039,AVL040,AVL041
"G010","1890","Alabama","010",,"Alabama",1513017,69,61,3,35,202,31,25,620,4,42,69,71,2934,113,592,3945,55,26,150,18,2604,322,3,1,34,47,,7,54,8,274,0,1391,20,52,294,169,0,398,18,1032
"G025","1890","Alaska Territory","025",,"Alaska Territory",32052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G045","1890","Arizona Territory","045",,"Arizona Territory",59620,10,0,2,38,105,17,3,732,11,1199,14,180,1117,4,296,1188,7,17,9,3,1171,207,3,0,11534,59,,6,13,19,53,3,318,33,21,168,144,0,85,6,541
"G050","1890","Arkansas","050",,"Arkansas",1128179,25,5,2,27,185,29,97,947,2,77,25,125,1569,136,428,6225,1,87,35,3,2021,187,0,2,27,60,185,5,277,7,87,0,430,18,4,333,608,4,130,33,869
"G060","1890","California","060",,"California",1208130,139,164,2587,1905,3687,663,243,26028,309,71066,670,7764,35457,194,11855,61472,259,760,369,202,63138,15495,1224,24,7164,3702,,622,914,9859,3140,674,9299,1366,836,10923,9743,202,1860,277,3721
"G080","1890","Colorado","080",,"Colorado",412198,24,30,12,101,2700,136,212,9142,3,1447,57,1650,14406,82,1328,15151,27,192,359,29,12352,3882,13,3,607,893,,20,272,28,1306,2,4339,42,50,9659,1255,14,2082,82,288
"G090","1890","Connecticut","090",,"Connecticut",746258,21,33,183,86,1187,165,177,21231,10,298,200,1474,20572,39,2048,28176,5,121,1146,48,77880,5285,22,2,12,523,,15,1504,230,3027,13,5992,65,45,10021,998,49,629,60,323
"G100","1890","Delaware","100",,"Delaware",168493,14,0,1,18,49,5,3,309,2,38,30,41,1901,8,183,2469,1,12,114,0,6121,459,0,0,3,14,,1,337,1,197,0,432,5,4,246,52,5,63,7,330
"G110","1890","District Of Columbia","110",,"District of Columbia",230392,21,11,3,12,130,24,10,655,16,95,102,72,2126,25,385,5778,5,32,41,11,7224,467,18,0,24,70,,2,65,9,244,5,578,34,44,128,211,7,71,12,3
"G120","1890","Florida","120",,"Florida",391422,50,11,83,26,66,28,5,1151,9,105,12282,105,2754,87,275,1855,36,42,29,36,1056,408,15,0,99,179,284,18,26,35,122,8,570,218,389,529,135,11,56,12,1161
"G130","1890","Georgia","130",,"Georgia",1837353,57,13,19,14,101,31,35,609,0,82,119,61,1585,94,306,3679,49,29,62,9,3374,159,1,1,18,88,149,1,38,14,282,2,619,32,65,191,178,3,108,9,887
"G160","1890","Idaho","160",,"Idaho",84385,16,2,8,24,130,41,11,1791,0,2018,7,1241,3138,0,178,1939,4,23,9,2,1917,509,0,1,30,741,,16,15,20,113,2,643,6,18,1524,528,2,770,18,697
"G170","1890","Illinois","170",,"Illinois",3826351,78,152,272,326,8087,2601,26627,39525,31,778,278,12044,70473,836,8540,338382,254,8762,3126,121,124498,8035,24,279,143,30339,,53,28878,255,8407,25,20465,170,152,86514,8115,52,4138,441,1598
"G178","1890","Indian Territory","178",,"Indian Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","1890","Indiana","180",,"Indiana",2192404,17,33,2,61,544,733,288,4954,13,91,32,718,11196,253,3297,84900,16,1157,436,12,20819,468,25,25,39,285,,15,3114,25,576,5,2948,17,20,4512,3478,3,888,172,221
"G190","1890","Iowa","190",,"Iowa",1911896,24,36,7,112,1715,384,10928,17465,16,79,91,15519,26205,230,2327,127246,1,7941,213,40,37353,399,6,953,41,27078,,20,453,7,782,8,7701,26,189,30276,4310,12,3601,251,268
"G200","1890","Kansas","200",,"Kansas",1427096,29,27,18,96,2384,808,3022,11874,10,113,59,3136,18080,61,2236,46423,4,872,721,59,15870,616,3,32,68,1786,,25,394,15,9801,3,5546,62,39,17096,3820,5,2488,130,278
"G210","1890","Kentucky","210",,"Kentucky",1858635,10,17,5,27,314,97,58,1173,7,27,25,92,4162,384,1168,32620,4,135,67,25,13926,707,1,1,28,120,212,2,176,10,390,0,1010,12,31,184,1892,13,380,54,1402
"G220","1890","Louisiana","220",,"Louisianna",1118587,82,9,27,36,571,275,14,762,100,334,648,232,2456,270,8437,14625,44,76,66,15,9236,7767,19,2,404,136,,73,100,112,345,6,465,78,889,328,521,16,99,59,399
"G230","1890","Maine","230",,"Maine",661086,11,9,17,25,58,21,3,52076,15,76,92,696,7276,28,441,1104,2,16,16,22,11444,253,4,0,8,311,,10,54,70,420,2,2285,22,53,1704,29,3,215,60,736
"G240","1890","Maryland","240",,"Maryland",1042390,22,16,43,31,1388,60,1554,1020,22,205,263,130,5590,120,623,52436,16,122,207,9,18735,1416,7,6,22,164,,29,1797,27,4258,3,2323,99,53,305,300,9,761,86,238
"G250","1890","Massachusetts","250",,"Massachusetts",2238943,153,319,4973,212,1148,295,581,207601,61,1124,1103,1512,76400,106,3273,28034,59,609,389,206,259902,8066,65,6,94,2519,,123,3341,3051,7325,104,21909,252,304,18624,1052,310,1527,280,1846
"G260","1890","Michigan","260",,"Michigan",2093889,37,73,27,122,3639,2232,2311,181416,14,140,138,6335,55354,116,5182,135509,10,29410,637,70,39065,3088,39,54,89,7795,,24,15669,26,11889,7,12068,75,61,27366,2562,10,769,409,495
"G270","1890","Minnesota","270",,"Minnesota",1301826,30,57,18,111,5168,910,9655,43580,6,106,61,14133,14730,428,1869,116955,14,1796,1256,71,28011,828,3,670,31,101169,,30,7503,22,7233,3,5315,62,36,99913,3745,45,1470,245,425
"G280","1890","Mississippi","280",,"Mississippi",1289600,48,3,0,7,144,14,6,345,11,106,39,90,884,122,449,2284,9,25,41,13,1865,425,1,1,31,54,144,2,74,5,120,0,203,8,61,305,111,0,21,21,673
"G290","1890","Missouri","290",,"Missouri",2679184,29,58,14,106,2660,766,3255,8525,19,425,148,1333,18648,232,4175,125461,16,740,582,85,40966,2416,6,55,130,526,,23,1651,38,2414,10,4601,90,78,5602,6765,58,1862,265,525
"G300","1890","Montana","300",,"Montana",132159,11,5,4,47,939,64,98,9040,13,2564,11,683,6480,16,478,5609,11,103,48,13,6648,734,7,2,49,1957,,19,93,25,719,1,1588,13,6,3771,468,9,719,29,2364
"G310","1890","Nebraska","310",,"Nebraska",1058910,17,29,17,74,4032,262,16803,12105,1,216,29,14345,14472,143,1256,72618,10,1149,449,42,15963,717,8,151,34,3632,,18,2332,14,5454,3,3839,43,26,28364,2542,31,1182,97,260
"G320","1890","Nevada","320",,"Nevada",45761,1,1,21,39,135,12,11,1662,1,2792,14,332,2149,9,226,1563,7,4,6,8,2646,1129,3,0,121,69,,12,39,197,39,2,360,31,97,314,429,2,212,11,892
"G330","1890","New Hampshire","330",,"New Hampshire",376530,6,14,11,13,96,7,3,46321,4,74,19,64,4759,1,222,1631,0,10,19,17,14890,312,8,0,9,251,,6,30,25,188,2,1906,12,8,1210,62,22,79,21,475
"G340","1890","New Jersey","340",,"New Jersey",1444933,159,59,71,112,4641,645,306,4698,43,657,576,2991,43778,266,4714,106181,27,7924,3417,100,101059,12989,31,8,66,1317,,31,3615,20,5320,6,13163,211,145,4159,4158,71,1069,144,673
"G355","1890","New Mexico Territory","355",,"New Mexico Territory",153593,5,7,2,12,172,35,8,681,1,369,16,54,1258,5,284,1413,1,46,9,7,966,355,4,2,4504,42,,14,24,14,73,0,436,10,23,149,122,1,122,13,550
"G360","1890","New York","360",,"New York",5997853,299,358,496,683,33145,1342,9129,93193,237,3135,4065,6238,144060,5147,20443,498602,413,8366,15598,349,483375,64141,209,65,330,8602,,112,22718,284,58466,45,35332,921,1603,28430,11557,427,8108,585,4066
"G370","1890","North Carolina","370",,"North Carolina",1617947,11,2,8,9,15,3,11,355,2,13,28,26,882,13,55,1077,1,7,3,12,451,28,0,0,8,13,39,6,9,11,86,0,381,7,2,51,82,3,23,7,187
"G380","1890","North Dakota","380",,"North Dakota",182719,6,3,5,19,300,58,1129,23045,3,28,5,2860,3309,104,203,8943,0,288,192,10,2967,21,0,7,6,25773,,4,237,1,4098,0,1788,6,14,5583,256,24,108,46,1378
"G390","1890","Ohio","390",,"Ohio",3672316,60,119,11,168,5115,870,11009,16515,23,211,128,956,50947,350,7171,235668,59,1514,5431,68,70127,3857,26,28,65,511,,19,5937,86,4576,6,10275,112,61,2742,11070,77,12905,329,713
"G405","1890","Oklahoma Territory","405",,"Oklahoma Territory",61834,3,2,0,3,56,5,259,420,1,24,2,37,290,3,82,739,1,6,22,1,329,11,0,0,11,36,,0,4,1,57,0,118,1,1,138,54,0,19,4,161
"G410","1890","Oregon","410",,"Oregon",313767,20,30,19,145,664,261,79,6460,9,9465,31,1288,5668,66,842,12475,78,244,73,20,4891,589,29,4,49,2271,,106,96,115,2583,32,2242,58,24,3774,2083,4,374,45,327
"G420","1890","Pennsylvania","420",,"Pennsylvania",5258014,117,195,78,440,21038,3149,2031,12171,57,1208,1047,2010,125089,1079,9033,230516,81,652,24901,140,243836,24662,45,19,114,2238,,66,25191,131,17315,8,32081,271,216,19346,6149,166,38301,396,1354
"G440","1890","Rhode Island","440",,"Rhode Island",345506,25,59,547,23,177,147,14,27934,9,75,119,154,20901,38,460,3200,16,44,19,29,38920,2468,8,0,8,285,439,33,182,833,682,5,4984,32,17,3392,133,63,194,28,1545
"G450","1890","South Carolina","450",,"South Carolina",1151149,30,6,5,0,75,11,11,159,2,23,56,36,594,44,138,2502,37,7,13,5,1665,106,0,0,2,23,59,1,63,7,178,0,293,24,25,60,47,1,7,7,378
"G460","1890","South Dakota","460",,"South Dakota",328808,5,19,6,38,675,183,2488,9493,1,202,15,4369,5111,123,350,18188,1,1428,321,9,4774,269,0,128,19,19257,,203,276,11,12398,3,1579,10,7,7746,571,2,695,79,3529
"G470","1890","Tennessee","470",,"Tennessee",1767518,34,11,7,19,180,21,13,1020,12,54,35,92,2852,158,490,5364,8,47,257,13,5016,788,4,5,35,41,,8,182,4,463,2,704,57,17,332,1027,6,620,23,1096
"G480","1890","Texas","480",,"Texas",2235523,201,60,33,100,8758,216,3215,2866,52,695,262,649,9441,782,2730,48843,145,130,228,72,8201,2107,3,3,51559,1313,,26,1591,89,977,3,2172,163,259,2806,1711,53,321,111,745
"G495","1890","Utah Territory","495",,"Utah Territory",207905,77,12,8,118,109,13,8,1222,5,808,9,9023,20899,20,205,2121,3,254,23,15,2045,347,5,0,19,1854,,78,20,26,290,156,3474,15,12,5986,1336,2,2387,53,1562
"G500","1890","Vermont","500",,"Vermont",332422,11,2,5,6,59,12,10,25004,1,39,14,58,3518,1,175,877,1,17,35,7,9810,445,1,0,10,38,,3,59,30,153,1,1730,7,13,870,70,11,959,22,381
"G510","1890","Virginia","510",,"Virginia",1655980,16,60,16,22,109,22,73,780,3,57,88,108,3342,68,331,4361,18,68,448,35,4578,1219,13,1,25,102,210,15,67,47,407,4,1034,52,36,215,200,10,300,11,1149
"G530","1890","Washington","530",,"Washington",349390,28,14,17,237,1110,313,239,17412,10,3275,65,2807,9854,58,1046,15399,47,227,104,24,7799,1408,377,16,81,8334,,114,209,110,2118,129,3514,93,45,10272,1324,6,1676,79,505
"G540","1890","West Virginia","540",,"West Virginia",762794,7,1,6,7,221,36,6,374,0,23,10,44,2700,12,213,7292,4,22,236,3,4799,632,0,0,6,7,,0,69,0,126,0,914,8,3,72,610,4,398,17,368
"G550","1890","Wisconsin","550",,"Wisconsin",1686880,33,45,19,77,4856,4567,11999,33163,10,136,52,13885,23628,98,2009,259819,19,6252,486,26,33306,1123,9,325,20,65696,,27,17660,15,2279,8,5494,36,23,20157,7181,4,4297,354,264
"G560","1890","Wyoming","560",,"Wyoming",60705,9,8,1,15,232,19,31,1314,1,474,8,680,3147,7,127,2037,1,17,17,9,1900,259,0,0,23,345,,2,18,7,794,3,1380,1,8,1357,106,7,533,15,693
