YEAR,STATE,COUNTY,total_population,total_white,total_free_black,total_slave
1850,Alabama,Autauga,15023,6274,19,8730
1850,Alabama,Baldwin,4414,2100,96,2218
1850,Alabama,Barbour,23632,12842,10,10780
1850,Alabama,Benton,17163,13397,3,3763
1850,Alabama,Bibb,9969,7097,11,2861
1850,Alabama,Blount,7367,6941,0,426
1850,Alabama,Butler,10836,7162,35,3639
1850,Alabama,Chambers,23960,12784,18,11158
1850,Alabama,Cherokee,13884,12170,23,1691
1850,Alabama,Choctaw,8389,4620,0,3769
1850,Alabama,Clarke,9786,4901,9,4876
1850,Alabama,Coffee,5940,5380,3,557
1850,Alabama,Conecuh,9322,4925,3,4394
1850,Alabama,Coosa,14543,10414,9,4120
1850,Alabama,Covington,3645,3077,88,480
1850,Alabama,Dale,6382,5622,3,757
1850,Alabama,Dallas,29727,7461,8,22258
1850,Alabama,DeKalb,8245,7730,9,506
1850,Alabama,Fayette,9681,8451,9,1221
1850,Alabama,Franklin,19610,11398,15,8197
1850,Alabama,Greene,31441,9265,49,22127
1850,Alabama,Hancock,1542,1480,0,62
1850,Alabama,Henry,9019,6776,1,2242
1850,Alabama,Jackson,14088,11754,42,2292
1850,Alabama,Jefferson,8989,6714,8,2267
1850,Alabama,Lauderdale,17172,11097,60,6015
1850,Alabama,Lawrence,15258,8342,64,6852
1850,Alabama,Limestone,16483,8399,21,8063
1850,Alabama,Lowndes,21915,7258,8,14649
1850,Alabama,Macon,26898,11286,16,15596
1850,Alabama,Madison,26427,11937,164,14326
1850,Alabama,Marengo,27831,7101,37,20693
1850,Alabama,Marion,7833,6922,3,908
1850,Alabama,Marshall,8846,7952,26,868
1850,Alabama,Mobile,27600,17303,941,9356
1850,Alabama,Monroe,12013,5648,40,6325
1850,Alabama,Montgomery,29711,10169,115,19427
1850,Alabama,Morgan,10125,6637,51,3437
1850,Alabama,Perry,22285,8342,26,13917
1850,Alabama,Pickens,21512,10972,6,10534
1850,Alabama,Pike,15920,12102,24,3794
1850,Alabama,Randolph,11581,10616,29,936
1850,Alabama,Russell,19548,8405,32,11111
1850,Alabama,St Clair,6829,5501,7,1321
1850,Alabama,Shelby,9536,7153,7,2376
1850,Alabama,Sumter,22250,7369,50,14831
1850,Alabama,Talladega,18624,11617,36,6971
1850,Alabama,Tallapoosa,15584,11511,0,4073
1850,Alabama,Tuscaloosa,18056,10571,8,7477
1850,Alabama,Walker,5124,4857,1,266
1850,Alabama,Washington,2713,1195,22,1496
1850,Alabama,Wilcox,17352,5517,0,11835
1850,Arkansas,Arkansas,3245,1694,13,1538
1850,Arkansas,Ashley,2058,1409,5,644
1850,Arkansas,Benton,3710,3508,1,201
1850,Arkansas,Bradley,3829,2601,2,1226
1850,Arkansas,Carroll,4614,4391,10,213
1850,Arkansas,Chicot,5115,1122,9,3984
1850,Arkansas,Clark,4070,3113,7,950
1850,Arkansas,Conway,3583,3339,4,240
1850,Arkansas,Crawford,7960,6935,92,933
1850,Arkansas,Crittenden,2648,1842,5,801
1850,Arkansas,Dallas,6877,4333,2,2542
1850,Arkansas,Desha,2911,1685,57,1169
1850,Arkansas,Drew,3276,2361,0,915
1850,Arkansas,Franklin,3972,3497,3,472
1850,Arkansas,Fulton,1819,1768,1,50
1850,Arkansas,Greene,2593,2530,10,53
1850,Arkansas,Hempstead,7672,5180,32,2460
1850,Arkansas,Hot Spring,3609,3237,11,361
1850,Arkansas,Independence,7767,6927,12,828
1850,Arkansas,Izard,3213,3017,0,196
1850,Arkansas,Jackson,3086,2517,6,563
1850,Arkansas,Jefferson,5834,3197,16,2621
1850,Arkansas,Johnson,5227,4489,7,731
1850,Arkansas,Lafayette,5220,1900,0,3320
1850,Arkansas,Lawrence,5274,4882,4,388
1850,Arkansas,Madison,4823,4659,0,164
1850,Arkansas,Marion,2308,2053,129,126
1850,Arkansas,Mississippi,2368,1496,7,865
