YEAR,STATE,COUNTY,total_white,total_free_black,total_slave
1860,Alabama,Autauga,7105,14,9607
1860,Alabama,Baldwin,3585,140,3714
1860,Alabama,Barbour,14629,33,16150
1860,Alabama,Bibb,8027,25,3842
1860,Alabama,Blount,10193,6,666
1860,Alabama,Butler,11260,44,6818
1860,Alabama,Calhoun,17169,28,4342
1860,Alabama,Chambers,11315,50,11849
1860,Alabama,Cherokee,15321,37,3002
1860,Alabama,Choctaw,6767,16,7094
1860,Alabama,Clarke,7599,14,7436
1860,Alabama,Coffee,8200,6,1417
1860,Alabama,Conecuh,6419,10,4882
1860,Alabama,Coosa,14044,11,5212
1860,Alabama,Covington,5631,17,821
1860,Alabama,Dale,10379,7,1809
1860,Alabama,Dallas,7785,80,25760
1860,Alabama,DeKalb,9853,4,848
1860,Alabama,Fayette,11145,2,1703
1860,Alabama,Franklin,10119,13,8495
1860,Alabama,Greene,7251,10,23598
1860,Alabama,Henry,10464,21,4433
1860,Alabama,Jackson,14811,67,3405
1860,Alabama,Jefferson,9078,19,2649
1860,Alabama,Lauderdale,10639,44,6737
1860,Alabama,Lawrence,7173,14,6788
1860,Alabama,Limestone,7215,6,8085
1860,Alabama,Lowndes,8362,14,19340
1860,Alabama,Macon,8624,1,18176
1860,Alabama,Madison,11685,192,14573
1860,Alabama,Marengo,6761,1,24409
1860,Alabama,Marion,9893,5,1283
1860,Alabama,Marshall,9596,51,1821
1860,Alabama,Mobile,28559,1195,11376
1860,Alabama,Monroe,6878,46,8705
1860,Alabama,Montgomery,12122,70,23710
1860,Alabama,Morgan,7592,37,3706
1860,Alabama,Perry,9479,39,18206
1860,Alabama,Pickens,10117,8,12191
1860,Alabama,Pike,15646,4,8785
1860,Alabama,Randolph,18132,23,1904
1860,Alabama,Russell,10936,18,15638
1860,Alabama,St Clair,9236,9,1768
1860,Alabama,Shelby,8970,26,3622
1860,Alabama,Sumter,5919,25,18091
1860,Alabama,Talladega,14634,21,8865
1860,Alabama,Tallapoosa,17154,1,6672
1860,Alabama,Tuscaloosa,12971,84,10145
1860,Alabama,Walker,7461,0,519
1860,Alabama,Washington,2119,56,2494
1860,Alabama,Wilcox,6795,26,17797
1860,Alabama,Winston,3454,0,122
1860,Arkansas,Arkansas,3923,0,4921
1860,Arkansas,Ashley,4829,0,3761
1860,Arkansas,Benton,8905,1,384
1860,Arkansas,Bradley,5698,0,2690
1860,Arkansas,Calhoun,3122,0,981
1860,Arkansas,Carroll,9053,0,330
1860,Arkansas,Chicot,1722,0,7512
1860,Arkansas,Clark,7516,5,2214
1860,Arkansas,Columbia,8845,5,3599
1860,Arkansas,Conway,5895,0,802
1860,Arkansas,Craighead,2978,1,87
1860,Arkansas,Crawford,6986,6,858
1860,Arkansas,Crittenden,2573,0,2347
1860,Arkansas,Dallas,4788,1,3494
1860,Arkansas,Desha,2655,20,3784
1860,Arkansas,Drew,5581,0,3497
1860,Arkansas,Franklin,6330,6,962
1860,Arkansas,Fulton,3936,0,88
1860,Arkansas,Greene,5654,0,189
1860,Arkansas,Hempstead,8589,2,5398
1860,Arkansas,Hot Spring,5019,3,613
1860,Arkansas,Independence,12970,0,1337
1860,Arkansas,Izard,6831,0,382
1860,Arkansas,Jackson,7957,1,2535
1860,Arkansas,Jefferson,7813,12,7146
1860,Arkansas,Johnson,6639,0,973
1860,Arkansas,Lafayette,4146,7,4311
