YEAR,STATE,COUNTY,total_white,total_free_black
1870,Alabama,Autauga,4329,7292
1870,Alabama,Baker,5057,1137
1870,Alabama,Baldwin,3159,2845
1870,Alabama,Barbour,12143,17165
1870,Alabama,Bibb,5061,2408
1870,Alabama,Blount,9263,682
1870,Alabama,Bullock,7223,17251
1870,Alabama,Butler,8590,6391
1870,Alabama,Calhoun,10088,3892
1870,Alabama,Chambers,8974,8588
1870,Alabama,Cherokee,9652,1480
1870,Alabama,Choctaw,5802,6872
1870,Alabama,Clarke,7098,7565
1870,Alabama,Clay,8823,737
1870,Alabama,Cleburne,7441,576
1870,Alabama,Coffee,5151,1020
1870,Alabama,Colbert,7898,4639
1870,Alabama,Conecuh,4667,4901
1870,Alabama,Coosa,8544,3394
1870,Alabama,Covington,4269,599
1870,Alabama,Crenshaw,8950,2206
1870,Alabama,Dale,9528,1797
1870,Alabama,Dallas,8552,32152
1870,Alabama,DeKalb,6656,470
1870,Alabama,Elmore,7747,6730
1870,Alabama,Escambia,3047,951
1870,Alabama,Etowah,8401,1708
1870,Alabama,Fayette,6059,1077
1870,Alabama,Franklin,6693,1313
1870,Alabama,Geneva,2732,227
1870,Alabama,Greene,3858,14541
1870,Alabama,Hale,4802,16990
1870,Alabama,Henry,9534,4657
1870,Alabama,Jackson,16350,3060
1870,Alabama,Jefferson,9839,2506
1870,Alabama,Lauderdale,9921,5170
1870,Alabama,Lawrence,10096,6562
1870,Alabama,Lee,10151,11597
1870,Alabama,Limestone,7764,7253
1870,Alabama,Lowndes,5086,20633
1870,Alabama,Macon,5103,12620
1870,Alabama,Madison,15527,15740
1870,Alabama,Marengo,6090,20058
1870,Alabama,Marion,5835,224
1870,Alabama,Marshall,8504,1367
1870,Alabama,Mobile,28195,21107
1870,Alabama,Monroe,6625,7572
1870,Alabama,Montgomery,12419,31285
1870,Alabama,Morgan,8829,3358
1870,Alabama,Perry,7142,17833
1870,Alabama,Pickens,8052,9638
1870,Alabama,Pike,12798,4625
1870,Alabama,Randolph,10365,1641
1870,Alabama,Russell,5946,15690
1870,Alabama,St Clair,7295,2065
1870,Alabama,Sanford,7330,1563
1870,Alabama,Shelby,8840,3378
1870,Alabama,Sumter,5202,18907
1870,Alabama,Talladega,8469,9595
1870,Alabama,Tallapoosa,12772,4190
1870,Alabama,Tuscaloosa,11787,8294
1870,Alabama,Walker,6235,308
1870,Alabama,Washington,2125,1787
1870,Alabama,Wilcox,6767,21610
1870,Alabama,Winston,4134,21
1870,Arizona Territory,Mohave,175,4
1870,Arizona Territory,Pah-Ute,,
1870,Arizona Territory,Pima,5698,12
1870,Arizona Territory,Yavapai,2116,8
1870,Arizona Territory,Yuma,1592,2
1870,Arkansas,Arkansas,3982,4212
1870,Arkansas,Ashley,4278,3764
1870,Arkansas,Benton,13640,182
1870,Arkansas,Boone,6958,74
1870,Arkansas,Bradley,6117,2529
1870,Arkansas,Calhoun,2753,1100
1870,Arkansas,Carroll,5743,37
1870,Arkansas,Chicot,1816,5393
1870,Arkansas,Clark,8461,3492
1870,Arkansas,Columbia,7679,3718
1870,Arkansas,Conway,7482,630
1870,Arkansas,Craighead,4324,253
1870,Arkansas,Crawford,7961,988
1870,Arkansas,Crittenden,1253,2575
1870,Arkansas,Cross,2626,1289
1870,Arkansas,Dallas,3956,1751
1870,Arkansas,Desha,2185,3934
1870,Arkansas,Drew,6106,3854
1870,Arkansas,Franklin,8976,651
1870,Arkansas,Fulton,4758,85
1870,Arkansas,Grant,3604,339
1870,Arkansas,Greene,7417,156
1870,Arkansas,Hempstead,7439,6329
1870,Arkansas,Hot Spring,5226,650
1870,Arkansas,Independence,13658,908
1870,Arkansas,Izard,6624,182
1870,Arkansas,Jackson,5656,1612
1870,Arkansas,Jefferson,5556,10167
1870,Arkansas,Johnson,8539,613
1870,Arkansas,Lafayette,3981,5158
1870,Arkansas,Lawrence,5735,246
1870,Arkansas,Little River,1358,1878
1870,Arkansas,Madison,8081,150
1870,Arkansas,Marion,3960,19
1870,Arkansas,Mississippi,2662,971
1870,Arkansas,Monroe,5135,3200
1870,Arkansas,Montgomery,2864,120
1870,Arkansas,Newton,4365,9
1870,Arkansas,Ouachita,7511,5458
1870,Arkansas,Perry,2395,290
1870,Arkansas,Phillips,4871,10501
1870,Arkansas,Pike,3367,421
1870,Arkansas,Poinsett,1494,225
1870,Arkansas,Polk,3323,45
1870,Arkansas,Pope,7811,575
1870,Arkansas,Prairie,3793,1811
1870,Arkansas,Pulaski,18348,13708
1870,Arkansas,Randolph,7109,357
1870,Arkansas,St Francis,4268,2446
1870,Arkansas,Saline,3726,185
1870,Arkansas,Scott,7362,121
1870,Arkansas,Searcy,5584,30
1870,Arkansas,Sebastian,11545,1354
1870,Arkansas,Sevier,3523,968
1870,Arkansas,Sharp,5286,114
1870,Arkansas,Union,5675,4896
1870,Arkansas,Van Buren,4988,119
1870,Arkansas,Washington,16590,674
1870,Arkansas,White,9146,1200
1870,Arkansas,Woodruff,4205,2686
1870,Arkansas,Yell,7281,767
1870,California,Alameda,22106,81
1870,California,Alpine,676,1
1870,California,Amador,7883,72
1870,California,Butte,9197,84
1870,California,Calaveras,7405,31
1870,California,Colusa,5389,81
1870,California,Contra Costa,8271,21
1870,California,Del Norte,1009,12
1870,California,El Dorado,8589,132
1870,California,Fresno,3259,15
1870,California,Humboldt,6025,0
1870,California,Inyo,1608,8
1870,California,Kern,2193,4
1870,California,Klamath,1081,2
1870,California,Lake,2825,2
1870,California,Lassen,1309,0
1870,California,Los Angeles,14720,134
1870,California,Marin,6394,22
1870,California,Mariposa,3364,90
1870,California,Mendocino,6865,9
1870,California,Merced,2548,36
1870,California,Mono,386,0
1870,California,Monterey,9429,16
1870,California,Napa,6725,109
1870,California,Nevada,16334,165
1870,California,Placer,8850,95
1870,California,Plumas,3571,2
1870,California,Sacramento,22725,475
1870,California,San Bernardino,3964,8
1870,California,San Diego,4838,15
1870,California,San Francisco,136059,1330
1870,California,San Joaquin,19193,223
1870,California,San Luis Obispo,4567,9
1870,California,San Mateo,6098,10
1870,California,Santa Barbara,7484,38
1870,California,Santa Clara,24536,173
1870,California,Santa Cruz,8532,53
1870,California,Shasta,3529,44
1870,California,Sierra,4781,28
1870,California,Siskiyou,5329,29
1870,California,Solano,15870,78
1870,California,Sonoma,19184,77
1870,California,Stanislaus,6189,4
1870,California,Sutter,4791,31
1870,California,Tehama,3166,73
1870,California,Trinity,1951,23
1870,California,Tulare,4391,39
1870,California,Tuolumne,6556,67
1870,California,Yolo,9318,69
1870,California,Yuba,8362,152
1870,Colorado Territory,Arapahoe,6566,257
1870,Colorado Territory,Bent,570,11
1870,Colorado Territory,Boulder,1938,1
1870,Colorado Territory,Clear Creek,1572,22
1870,Colorado Territory,Conejos,2470,0
1870,Colorado Territory,Costilla,1761,1
1870,Colorado Territory,Douglas,1385,2
1870,Colorado Territory,El Paso,986,1
1870,Colorado Territory,Fremont,1063,1
1870,Colorado Territory,Gilpin,5429,60
1870,Colorado Territory,Greenwood,479,31
1870,Colorado Territory,Huerfano,2217,2
1870,Colorado Territory,Jefferson,2370,20
1870,Colorado Territory,Lake,521,1
1870,Colorado Territory,Larimer,828,0
1870,Colorado Territory,Las Animas,4191,13
1870,Colorado Territory,Park,446,1
1870,Colorado Territory,Pueblo,2237,27
1870,Colorado Territory,Saguache,304,0
1870,Colorado Territory,Summit,253,5
1870,Colorado Territory,Weld,1635,0
1870,Connecticut,Fairfield,93582,1680
1870,Connecticut,Hartford,107252,1752
1870,Connecticut,Litchfield,47648,1052
1870,Connecticut,Middlesex,35722,372
1870,Connecticut,New Haven,118517,2734
1870,Connecticut,New London,65010,1419
1870,Connecticut,Tolland,21801,199
1870,Connecticut,Windham,38017,460
1870,Dakota Territory,Bon Homme,592,4
1870,Dakota Territory,Brookings,18,0
1870,Dakota Territory,Buffalo,214,9
1870,Dakota Territory,Charles Mix,35,0
1870,Dakota Territory,Clay,2618,2
1870,Dakota Territory,Deuel,17,0
1870,Dakota Territory,Hutchinson,37,0
1870,Dakota Territory,Jayne,3,2
1870,Dakota Territory,Lincoln,712,0
1870,Dakota Territory,Minnehaha,301,0
1870,Dakota Territory,Pembina,404,1
1870,Dakota Territory,Todd,321,16
1870,Dakota Territory,Union,3496,0
1870,Dakota Territory,Unorganized Territory,2042,41
1870,Dakota Territory,Yankton,2077,19
1870,Delaware,Kent,22640,7164
1870,Delaware,New Castle,53323,10192
1870,Delaware,Sussex,26258,5438
1870,District Of Columbia,District Of Columbia,88278,43404
1870,Florida,Alachua,4935,12393
1870,Florida,Baker,1035,290
1870,Florida,Bradford,2847,824
1870,Florida,Brevard,1197,19
1870,Florida,Calhoun,754,244
1870,Florida,Clay,1699,399
1870,Florida,Columbia,4107,3228
1870,Florida,Dade,72,13
1870,Florida,Duval,5141,6780
1870,Florida,Escambia,4937,2880
1870,Florida,Franklin,781,475
1870,Florida,Gadsden,3764,6038
1870,Florida,Hamilton,3386,2363
1870,Florida,Hernando,2083,854
1870,Florida,Hillsborough,2670,546
1870,Florida,Holmes,1435,137
1870,Florida,Jackson,3930,5598
1870,Florida,Jefferson,3501,9897
1870,Florida,Lafayette,1586,197
1870,Florida,Leon,2895,12341
1870,Florida,Levy,1623,395
1870,Florida,Liberty,727,323
1870,Florida,Madison,4429,6692
1870,Florida,Manatee,1843,88
1870,Florida,Marion,2926,7878
1870,Florida,Monroe,4631,1026
1870,Florida,Nassau,2277,1970
1870,Florida,Orange,1997,198
1870,Florida,Polk,2687,482
