YEAR,STATE,COUNTY,total_population
1870,Alabama,Autauga,11623
1870,Alabama,Baker,6194
1870,Alabama,Baldwin,6004
1870,Alabama,Barbour,29309
1870,Alabama,Bibb,7469
1870,Alabama,Blount,9945
1870,Alabama,Bullock,24474
1870,Alabama,Butler,14981
1870,Alabama,Calhoun,13980
1870,Alabama,Chambers,17562
1870,Alabama,Cherokee,11132
1870,Alabama,Choctaw,12676
1870,Alabama,Clarke,14663
1870,Alabama,Clay,9560
1870,Alabama,Cleburne,8017
1870,Alabama,Coffee,6171
1870,Alabama,Colbert,12537
1870,Alabama,Conecuh,9574
1870,Alabama,Coosa,11945
1870,Alabama,Covington,4868
1870,Alabama,Crenshaw,11156
1870,Alabama,Dale,11325
1870,Alabama,Dallas,40705
1870,Alabama,DeKalb,7126
1870,Alabama,Elmore,14477
1870,Alabama,Escambia,4041
1870,Alabama,Etowah,10109
1870,Alabama,Fayette,7136
1870,Alabama,Franklin,8006
1870,Alabama,Geneva,2959
1870,Alabama,Greene,18399
1870,Alabama,Hale,21792
1870,Alabama,Henry,14191
1870,Alabama,Jackson,19410
1870,Alabama,Jefferson,12345
1870,Alabama,Lauderdale,15091
1870,Alabama,Lawrence,16658
1870,Alabama,Lee,21750
1870,Alabama,Limestone,15017
1870,Alabama,Lowndes,25719
1870,Alabama,Macon,17727
1870,Alabama,Madison,31267
1870,Alabama,Marengo,26151
1870,Alabama,Marion,6059
1870,Alabama,Marshall,9871
1870,Alabama,Mobile,49311
1870,Alabama,Monroe,14214
1870,Alabama,Montgomery,43704
1870,Alabama,Morgan,12187
1870,Alabama,Perry,24975
1870,Alabama,Pickens,17690
1870,Alabama,Pike,17423
1870,Alabama,Randolph,12006
1870,Alabama,Russell,21636
1870,Alabama,St Clair,9360
1870,Alabama,Sanford,8893
1870,Alabama,Shelby,12218
1870,Alabama,Sumter,24109
1870,Alabama,Talladega,18064
1870,Alabama,Tallapoosa,16963
1870,Alabama,Tuscaloosa,20081
1870,Alabama,Walker,6543
1870,Alabama,Washington,3912
1870,Alabama,Wilcox,28377
1870,Alabama,Winston,4155
1870,Arizona Territory,Mohave,179
1870,Arizona Territory,Pah-Ute,
1870,Arizona Territory,Pima,5716
1870,Arizona Territory,Yavapai,2142
1870,Arizona Territory,Yuma,1621
1870,Arkansas,Arkansas,8268
1870,Arkansas,Ashley,8042
1870,Arkansas,Benton,13831
1870,Arkansas,Boone,7032
1870,Arkansas,Bradley,8646
1870,Arkansas,Calhoun,3853
1870,Arkansas,Carroll,5780
1870,Arkansas,Chicot,7214
1870,Arkansas,Clark,11953
1870,Arkansas,Columbia,11397
1870,Arkansas,Conway,8112
1870,Arkansas,Craighead,4577
1870,Arkansas,Crawford,8957
1870,Arkansas,Crittenden,3831
1870,Arkansas,Cross,3915
1870,Arkansas,Dallas,5707
1870,Arkansas,Desha,6125
1870,Arkansas,Drew,9960
1870,Arkansas,Franklin,9627
1870,Arkansas,Fulton,4843
1870,Arkansas,Grant,3943
1870,Arkansas,Greene,7573
1870,Arkansas,Hempstead,13768
1870,Arkansas,Hot Spring,5877
1870,Arkansas,Independence,14566
1870,Arkansas,Izard,6806
1870,Arkansas,Jackson,7268
1870,Arkansas,Jefferson,15733
1870,Arkansas,Johnson,9152
1870,Arkansas,Lafayette,9139
1870,Arkansas,Lawrence,5981
1870,Arkansas,Little River,3236
1870,Arkansas,Madison,8231
1870,Arkansas,Marion,3979
1870,Arkansas,Mississippi,3633
1870,Arkansas,Monroe,8336
1870,Arkansas,Montgomery,2984
1870,Arkansas,Newton,4374
1870,Arkansas,Ouachita,12975
1870,Arkansas,Perry,2685
1870,Arkansas,Phillips,15372
1870,Arkansas,Pike,3788
1870,Arkansas,Poinsett,1720
1870,Arkansas,Polk,3376
1870,Arkansas,Pope,8386
1870,Arkansas,Prairie,5604
1870,Arkansas,Pulaski,32066
