GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,total_population
G0100010,1870,Alabama,10,Autauga,10,Autauga,11623
G0100015,1870,Alabama,10,Baker,15,Baker,6194
G0100030,1870,Alabama,10,Baldwin,30,Baldwin,6004
G0100050,1870,Alabama,10,Barbour,50,Barbour,29309
G0100070,1870,Alabama,10,Bibb,70,Bibb,7469
G0100090,1870,Alabama,10,Blount,90,Blount,9945
G0100110,1870,Alabama,10,Bullock,110,Bullock,24474
G0100130,1870,Alabama,10,Butler,130,Butler,14981
G0100150,1870,Alabama,10,Calhoun,150,Calhoun,13980
G0100170,1870,Alabama,10,Chambers,170,Chambers,17562
G0100190,1870,Alabama,10,Cherokee,190,Cherokee,11132
G0100230,1870,Alabama,10,Choctaw,230,Choctaw,12676
G0100250,1870,Alabama,10,Clarke,250,Clarke,14663
G0100270,1870,Alabama,10,Clay,270,Clay,9560
G0100290,1870,Alabama,10,Cleburne,290,Cleburne,8017
G0100310,1870,Alabama,10,Coffee,310,Coffee,6171
G0100330,1870,Alabama,10,Colbert,330,Colbert,12537
G0100350,1870,Alabama,10,Conecuh,350,Conecuh,9574
G0100370,1870,Alabama,10,Coosa,370,Coosa,11945
G0100390,1870,Alabama,10,Covington,390,Covington,4868
G0100410,1870,Alabama,10,Crenshaw,410,Crenshaw,11156
G0100450,1870,Alabama,10,Dale,450,Dale,11325
G0100470,1870,Alabama,10,Dallas,470,Dallas,40705
G0100490,1870,Alabama,10,DeKalb,490,Dekalb,7126
G0100510,1870,Alabama,10,Elmore,510,Elmore,14477
G0100530,1870,Alabama,10,Escambia,530,Escambia,4041
G0100550,1870,Alabama,10,Etowah,550,Etowah,10109
G0100570,1870,Alabama,10,Fayette,570,Fayette,7136
G0100590,1870,Alabama,10,Franklin,590,Franklin,8006
G0100610,1870,Alabama,10,Geneva,610,Geneva,2959
G0100630,1870,Alabama,10,Greene,630,Greene,18399
G0100650,1870,Alabama,10,Hale,650,Hale,21792
G0100670,1870,Alabama,10,Henry,670,Henry,14191
G0100710,1870,Alabama,10,Jackson,710,Jackson,19410
G0100730,1870,Alabama,10,Jefferson,730,Jefferson,12345
G0100770,1870,Alabama,10,Lauderdale,770,Lauderdale,15091
G0100790,1870,Alabama,10,Lawrence,790,Lawrence,16658
